Ticker,Sector,EBITDA,Sector Multiple,Enterprise Value (B),Estimated Market Cap (B),Shares Outstanding (B),Value per Share ($),Error
KMX,Consumer Cyclical,1.17,12.0,13.99,-5.24,0.15,-34.89,
CCL,Consumer Cyclical,6.82,12.0,81.79,55.28,1.17,47.36,
CARR,Industrials,3.34,10.1,33.77,23.68,0.85,27.83,
CRI,Consumer Cyclical,0.28,12.0,3.32,2.53,0.04,69.56,
CVNA,Consumer Cyclical,1.79,12.0,21.48,17.62,0.12,150.69,
CASY,Consumer Cyclical,1.19,12.0,14.32,11.69,0.04,314.32,
CAT,Industrials,14.06,10.1,141.98,105.66,0.47,225.53,
CAVA,Consumer Cyclical,0.12,12.0,1.43,1.39,0.12,11.99,
CBOE,Financial Services,1.43,9.8,14.01,13.87,0.1,132.61,
CBRE,Real Estate,2.4,10.2,24.43,16.1,0.3,54.09,
CCCS,Technology,0.2,14.8,3.02,1.97,0.65,3.02,
CDW,Technology,1.99,14.8,29.44,23.74,0.13,181.11,
CE,Basic Materials,1.75,8.7,15.22,3.03,0.11,27.69,
CELH,Consumer Defensive,0.14,11.2,1.6,2.56,0.26,9.92,
COR,Healthcare,4.57,13.3,60.76,52.85,0.19,272.58,
CNC,Healthcare,4.65,13.3,61.87,61.58,0.49,125.37,
CNP,Utilities,3.3,9.0,29.67,8.85,0.65,13.56,
CERT,Healthcare,0.1,13.3,1.39,1.25,0.16,7.75,
CF,Basic Materials,2.8,8.7,24.36,22.72,0.16,140.27,
CRL,Healthcare,0.96,13.3,12.71,10.1,0.05,205.32,
SCHW,,,,,,,,Missing EBITDA
CHTR,Communication Services,22.18,12.7,281.62,185.95,0.14,1361.33,
CHE,Healthcare,0.43,13.3,5.77,5.88,0.01,403.44,
CC,Basic Materials,0.66,8.7,5.78,1.87,0.15,12.48,
LNG,Energy,8.17,6.5,53.09,28.47,0.22,129.56,
CVX,Energy,36.61,6.5,237.99,212.59,2.01,105.51,
CMG,Consumer Cyclical,2.34,12.0,28.02,24.79,1.34,18.49,
CHH,Consumer Cyclical,0.52,12.0,6.27,4.32,0.05,93.32,
COIN,Financial Services,2.02,9.8,19.8,22.64,0.22,105.22,
CL,Consumer Defensive,4.82,11.2,54.03,46.68,0.81,57.76,
COLB,,,,,,,,Missing EBITDA
COLM,Consumer Cyclical,0.33,12.0,3.93,4.03,0.06,73.01,
CMCSA,Communication Services,38.22,12.7,485.38,393.54,3.68,106.86,
CMA,,,,,,,,Missing EBITDA
FIX,Industrials,1.08,10.1,10.87,10.9,0.04,308.82,
CBSH,,,,,,,,Missing EBITDA
CAG,Consumer Defensive,2.07,11.2,23.19,14.94,0.48,31.22,
CNXC,Technology,1.41,14.8,20.88,15.41,0.06,244.43,
CFLT,Technology,-0.37,14.8,-5.53,-4.7,0.29,-16.09,
COP,Energy,25.14,6.5,163.44,145.25,1.25,116.3,
ED,Utilities,5.65,9.0,50.84,25.26,0.36,70.03,
STZ,Consumer Defensive,3.8,11.2,42.54,31.04,0.18,176.11,
CEG,Utilities,6.35,9.0,57.19,50.86,0.31,162.79,
COO,Healthcare,1.12,13.3,14.94,12.47,0.2,62.52,
CPRT,Industrials,1.9,10.1,19.23,23.51,0.97,24.32,
CNM,Industrials,0.92,10.1,9.27,6.73,0.19,35.51,
GLW,Technology,3.18,14.8,47.14,40.13,0.86,46.85,
CPAY,Technology,2.2,14.8,32.52,26.42,0.07,374.08,
CTVA,Basic Materials,3.57,8.7,31.06,29.57,0.68,43.54,
CSGP,Real Estate,0.18,10.2,1.85,4.67,0.42,11.03,
COST,Consumer Defensive,12.44,11.2,139.35,145.84,0.44,328.86,
CTRA,Energy,4.12,6.5,26.75,22.56,0.76,29.56,
COTY,Consumer Defensive,0.99,11.2,11.11,7.26,0.87,8.32,
CPNG,Consumer Cyclical,1.28,12.0,15.35,17.57,1.67,10.55,
CUZ,Real Estate,0.58,10.2,5.93,2.82,0.17,16.81,
CR,Industrials,0.42,10.1,4.28,4.55,0.06,79.11,
CXT,Industrials,0.36,10.1,3.66,2.67,0.06,46.54,
CACC,,,,,,,,Missing EBITDA
CRH,Basic Materials,7.07,8.7,61.53,46.8,0.67,69.62,
CROX,Consumer Cyclical,1.08,12.0,12.94,11.37,0.06,202.74,
CRWD,Technology,-0.01,14.8,-0.19,3.64,0.25,14.6,
CCI,Real Estate,3.93,10.2,40.12,10.64,0.44,24.44,
CCK,Consumer Cyclical,2.06,12.0,24.66,18.89,0.12,162.34,
CSX,Industrials,6.64,10.1,67.02,47.67,1.86,25.57,
CUBE,Real Estate,0.71,10.2,7.2,3.79,0.23,16.63,
CMI,Industrials,5.21,10.1,52.65,47.04,0.14,341.41,
CW,Industrials,0.75,10.1,7.55,6.75,0.04,179.27,
CVS,Healthcare,13.97,13.3,185.84,117.29,1.27,92.48,
DHI,Consumer Cyclical,5.23,12.0,62.71,57.7,0.3,193.54,
DHR,Healthcare,7.52,13.3,100.03,84.43,0.72,117.91,
DRI,Consumer Cyclical,1.91,12.0,22.91,15.34,0.12,131.56,
DAR,Consumer Defensive,0.81,11.2,9.12,5.0,0.16,31.62,
DDOG,Technology,0.03,14.8,0.44,3.09,0.32,9.66,
DVA,Healthcare,2.69,13.3,35.75,23.67,0.07,331.11,
DAY,Technology,0.26,14.8,3.88,3.27,0.16,20.5,
DECK,Consumer Cyclical,1.29,12.0,15.45,16.86,0.15,113.65,
DE,Industrials,9.31,10.1,93.99,33.74,0.27,124.6,
DAL,Industrials,7.72,10.1,77.98,58.93,0.65,90.26,
DELL,Technology,9.9,14.8,146.58,124.65,0.34,365.91,
XRAY,Healthcare,0.63,13.3,8.33,6.18,0.2,30.96,
DVN,Energy,7.74,6.5,50.34,42.99,0.63,67.72,
DXCM,Healthcare,0.92,13.3,12.28,12.63,0.39,32.21,
FANG,Energy,9.74,6.5,63.31,48.35,0.29,167.02,
DKS,Consumer Cyclical,1.92,12.0,22.99,19.46,0.06,344.29,
DLR,Real Estate,2.58,10.2,26.35,9.86,0.34,28.92,
ECL,Basic Materials,3.72,8.7,32.39,26.79,0.28,94.47,
EIX,Utilities,6.35,9.0,57.15,17.76,0.38,46.16,
EW,Healthcare,1.74,13.3,23.15,26.51,0.59,45.16,
ELAN,Healthcare,0.84,13.3,11.2,7.53,0.5,15.15,
ESTC,Technology,-0.04,14.8,-0.62,0.19,0.11,1.75,
EA,Communication Services,1.84,12.7,23.39,22.81,0.25,91.18,
ESI,Basic Materials,0.5,8.7,4.33,3.23,0.24,13.36,
ELV,Healthcare,9.49,13.3,126.18,130.78,0.23,580.8,
EME,Industrials,1.65,10.1,16.71,16.52,0.04,369.04,
EMR,Industrials,4.89,10.1,49.42,36.77,0.56,65.33,
EHC,Healthcare,1.28,13.3,17.06,14.48,0.1,143.73,
ENOV,Healthcare,0.36,13.3,4.82,3.4,0.06,59.59,
ENPH,Technology,0.26,14.8,3.9,4.2,0.13,32.12,
ENTG,Technology,0.91,14.8,13.5,9.82,0.15,64.86,
ETR,Utilities,5.63,9.0,50.67,21.44,0.45,48.03,
NVST,Healthcare,0.31,13.3,4.12,3.64,0.17,21.88,
EOG,Energy,11.81,6.5,76.75,77.37,0.55,141.76,
EPAM,Technology,0.71,14.8,10.57,11.45,0.06,205.64,
EPR,Real Estate,0.54,10.2,5.47,2.48,0.08,32.52,
EQT,Energy,4.53,6.5,29.41,21.65,0.62,34.7,
EFX,Industrials,1.82,10.1,18.38,13.67,0.12,110.94,
EQIX,Real Estate,3.77,10.2,38.49,20.3,0.1,207.47,
EQH,Financial Services,2.38,9.8,23.34,32.79,0.3,108.69,
ELS,Real Estate,0.74,10.2,7.55,4.29,0.19,22.12,
EQR,Real Estate,1.86,10.2,18.95,10.31,0.38,26.98,
ESAB,Industrials,0.52,10.1,5.29,4.38,0.06,72.13,
WTRG,Utilities,1.29,9.0,11.63,3.85,0.28,13.73,
ESS,Real Estate,1.2,10.2,12.27,5.52,0.06,85.75,
EL,Consumer Defensive,2.15,11.2,24.09,17.34,0.23,74.04,
ETSY,Consumer Cyclical,0.45,12.0,5.45,3.78,0.1,38.17,
HHH,Real Estate,0.72,10.2,7.34,3.56,0.06,59.94,
HWM,Industrials,2.12,10.1,21.38,18.5,0.4,45.89,
HPQ,Technology,4.68,14.8,69.26,60.04,0.94,63.93,
HUBB,Industrials,1.34,10.1,13.5,11.9,0.05,223.97,
HUBS,Technology,-0.05,14.8,-0.67,0.71,0.05,13.55,
HUM,Healthcare,4.02,13.3,53.4,62.19,0.12,517.05,
HBAN,,,,,,,,Missing EBITDA
HII,Industrials,0.98,10.1,9.91,7.34,0.04,187.1,
HUN,Basic Materials,0.34,8.7,2.96,0.92,0.17,5.3,
H,Consumer Cyclical,0.79,12.0,9.52,4.1,0.04,97.82,
IAC,Communication Services,0.36,12.7,4.6,4.26,0.07,57.23,
IBM,Technology,14.18,14.8,209.91,157.64,0.93,169.23,
IDA,Utilities,0.56,9.0,5.08,1.88,0.05,34.75,
IEX,Industrials,0.9,10.1,9.08,7.77,0.08,103.26,
IDXX,Healthcare,1.39,13.3,18.52,17.45,0.08,218.14,
ITW,Industrials,4.54,10.1,45.8,37.65,0.29,129.17,
ILMN,Healthcare,0.69,13.3,9.2,7.76,0.16,49.02,
INCY,Healthcare,1.06,13.3,14.11,16.49,0.2,84.44,
INFA,Technology,0.28,14.8,4.11,3.55,0.26,13.63,
IR,Industrials,1.96,10.1,19.75,16.08,0.4,40.45,
INGM,Technology,1.06,14.8,15.64,12.32,0.23,52.44,
INGR,Consumer Defensive,1.3,11.2,14.55,13.63,0.06,211.94,
INSP,Healthcare,0.05,13.3,0.69,0.96,0.03,32.53,
PODD,Healthcare,0.48,13.3,6.33,6.05,0.07,85.95,
INTC,Technology,9.2,14.8,136.17,106.62,4.38,24.36,
IBKR,,,,,,,,Missing EBITDA
ICE,Financial Services,6.04,9.8,59.16,40.5,0.57,70.75,
IFF,Basic Materials,1.77,8.7,15.4,9.37,0.26,36.54,
IP,Consumer Cyclical,2.5,12.0,29.95,20.45,0.53,38.72,
IPG,Communication Services,1.72,12.7,21.84,19.22,0.37,52.48,
INTU,Technology,5.33,14.8,78.9,78.9,0.28,282.85,
ISRG,Healthcare,3.19,13.3,42.37,47.7,0.36,133.05,
IVZ,Financial Services,1.22,9.8,11.99,11.03,0.45,24.73,
INVH,Real Estate,1.45,10.2,14.82,6.7,0.61,10.92,
IONS,Healthcare,-0.26,13.3,-3.39,-3.08,0.16,-19.35,
IPGP,Technology,0.05,14.8,0.81,1.71,0.04,40.55,
IQV,Healthcare,2.92,13.3,38.88,25.32,0.17,148.93,
IRDM,Communication Services,0.43,12.7,5.43,3.7,0.11,34.9,
IRM,Real Estate,2.14,10.2,21.87,3.93,0.3,13.29,
ITT,Industrials,0.79,10.1,8.01,7.31,0.08,93.75,
JBL,Technology,2.1,14.8,31.02,29.16,0.11,271.67,
J,Industrials,1.25,10.1,12.63,10.92,0.12,91.32,
JHX,Basic Materials,1.08,8.7,9.37,8.72,0.58,15.06,
JHG,Financial Services,0.71,9.8,6.92,8.88,0.16,56.9,
JAZZ,Healthcare,1.6,13.3,21.26,17.5,0.06,288.43,
JBHT,Industrials,1.56,10.1,15.73,13.74,0.1,141.94,
JEF,,,,,,,,Missing EBITDA
JNJ,Healthcare,30.25,13.3,402.39,370.51,2.41,153.84,
JCI,Industrials,4.06,10.1,41.0,30.08,0.65,45.97,
JLL,Real Estate,1.34,10.2,13.71,10.0,0.05,211.0,
JPM,,,,,,,,Missing EBITDA
KRMN,Industrials,0.1,10.1,0.99,0.53,0.13,4.03,
KBR,Industrials,0.7,10.1,7.11,4.7,0.13,36.47,
K,Consumer Defensive,2.26,11.2,25.33,19.18,0.35,55.15,
KMPR,Financial Services,0.55,9.8,5.39,4.44,0.06,70.71,
KVUE,Consumer Defensive,3.55,11.2,39.74,32.06,1.92,16.71,
KDP,Consumer Defensive,4.18,11.2,46.76,28.59,1.36,21.05,
KEY,,,,,,,,Missing EBITDA
KEYS,Technology,1.15,14.8,17.08,17.43,0.17,101.29,
KRC,Real Estate,0.66,10.2,6.7,2.17,0.12,18.31,
KMB,Consumer Defensive,3.83,11.2,42.86,36.22,0.33,109.16,
KIM,Real Estate,1.28,10.2,13.01,4.95,0.68,7.31,
KMI,Energy,6.72,6.5,43.69,10.96,2.22,4.93,
KNSL,Financial Services,0.58,9.8,5.69,5.68,0.02,243.84,
KEX,Industrials,0.67,10.1,6.79,6.79,0.06,120.98,
KKR,,,,,,,,Missing EBITDA
KLAC,Technology,5.41,14.8,80.04,78.45,0.13,593.23,
KNX,Industrials,1.05,10.1,10.59,7.67,0.16,47.28,
KSS,Consumer Cyclical,1.24,12.0,14.94,7.72,0.11,68.92,
KHC,Consumer Defensive,6.27,11.2,70.26,51.61,1.18,43.6,
KR,Consumer Defensive,7.98,11.2,89.4,70.55,0.66,106.71,
KD,Technology,1.3,14.8,19.31,17.14,0.23,74.17,
LHX,Industrials,3.99,10.1,40.3,28.68,0.19,153.29,
LH,Healthcare,1.82,13.3,24.24,18.29,0.08,220.08,
LRCX,Technology,6.29,14.8,93.05,94.96,1.27,74.84,
LAMR,Real Estate,1.01,10.2,10.27,10.27,0.09,116.69,
LW,Consumer Defensive,1.26,11.2,14.09,9.91,0.14,71.11,
LSTR,Industrials,0.27,10.1,2.69,2.97,0.03,85.84,
LVS,Consumer Cyclical,3.93,12.0,47.2,34.83,0.69,50.73,
LSCC,Technology,0.07,14.8,1.01,1.1,0.14,8.03,
LAZ,,,,,,,,Missing EBITDA
LEA,Consumer Cyclical,1.63,12.0,19.59,16.94,0.05,318.32,
LEG,Consumer Cyclical,0.38,12.0,4.54,2.95,0.14,21.8,
LDOS,Technology,2.31,14.8,34.22,29.45,0.13,229.52,
LEN,Consumer Cyclical,4.37,12.0,52.38,54.38,0.23,238.91,
LULU,Consumer Cyclical,2.98,12.0,35.72,35.34,0.11,308.05,
LITE,Technology,-0.02,14.8,-0.34,-2.08,0.07,-29.98,
LYFT,Technology,0.09,14.8,1.26,2.24,0.4,5.64,
LYB,Basic Materials,2.81,8.7,24.47,12.83,0.32,39.89,
MTB,,,,,,,,Missing EBITDA
MTSI,Technology,0.18,14.8,2.64,2.8,0.07,37.65,
M,Consumer Cyclical,1.43,12.0,17.15,12.42,0.27,45.72,
MORN,Financial Services,0.55,9.8,5.42,4.93,0.04,116.84,
MOS,Basic Materials,1.94,8.7,16.92,12.58,0.32,39.64,
MS,,,,,,,,Missing EBITDA
MSI,Technology,3.29,14.8,48.71,43.58,0.17,261.58,
MP,Basic Materials,-0.07,8.7,-0.65,-0.84,0.18,-4.73,
COOP,Financial Services,1.92,9.8,18.84,7.49,0.06,116.99,
MSA,Industrials,0.48,10.1,4.87,4.3,0.04,109.74,
MSM,Industrials,0.41,10.1,4.12,3.61,0.06,64.89,
MSCI,Financial Services,1.73,9.8,16.93,12.62,0.08,163.09,
MUSA,Consumer Cyclical,1.01,12.0,12.09,9.53,0.02,493.83,
NDAQ,Financial Services,2.87,9.8,28.12,19.17,0.57,33.41,
NTRA,Healthcare,-0.26,13.3,-3.49,-2.66,0.14,-19.45,
NFG,Energy,1.38,6.5,8.94,6.23,0.09,68.99,
NSA,Real Estate,0.45,10.2,4.6,1.2,0.08,15.68,
NCNO,Technology,0.03,14.8,0.47,0.32,0.12,2.77,
NTAP,Technology,1.64,14.8,24.27,24.63,0.2,123.11,
NFLX,Communication Services,12.62,12.7,160.33,151.79,0.42,357.21,
NBIX,Healthcare,0.53,13.3,7.02,7.5,0.1,75.65,
NFE,Energy,0.53,6.5,3.47,-5.71,0.27,-20.83,
NYT,Communication Services,0.48,12.7,6.04,6.58,0.16,40.61,
NWL,Consumer Defensive,0.82,11.2,9.23,3.53,0.42,8.42,
NEU,Basic Materials,0.77,8.7,6.71,5.87,0.01,624.23,
NEM,Basic Materials,10.94,8.7,95.16,94.21,1.1,85.76,
NWSA,Communication Services,1.13,12.7,14.4,13.87,0.38,36.85,
NWS,Communication Services,1.13,12.7,14.4,13.87,0.19,73.59,
NXST,Communication Services,1.71,12.7,21.76,15.32,0.03,505.23,
NEE,Utilities,14.64,9.0,131.79,40.33,2.06,19.58,
NKE,Consumer Cyclical,4.48,12.0,53.72,51.85,1.19,43.65,
NI,Utilities,2.64,9.0,23.75,8.33,0.47,17.69,
NNN,Real Estate,0.81,10.2,8.29,3.66,0.19,19.37,
NDSN,Industrials,0.81,10.1,8.15,5.95,0.06,105.33,
NSC,Industrials,6.06,10.1,61.17,44.57,0.22,198.65,
NTRS,,,,,,,,Missing EBITDA
NOC,Industrials,6.44,10.1,65.03,48.85,0.14,341.15,
NCLH,Consumer Cyclical,2.53,12.0,30.37,15.97,0.45,35.33,
NOV,Energy,1.18,6.5,7.7,6.41,0.37,17.26,
NRG,Utilities,2.26,9.0,20.33,9.39,0.19,48.53,
NU,,,,,,,,Missing EBITDA
NUE,Basic Materials,3.59,8.7,31.2,26.8,0.23,116.14,
NTNX,Technology,0.22,14.8,3.22,3.6,0.27,13.44,
NVT,Industrials,0.71,10.1,7.22,5.44,0.16,33.82,
NVDA,Technology,88.25,14.8,1306.06,1349.46,24.39,55.33,
NVR,Consumer Cyclical,2.04,12.0,24.47,25.13,0.0,9093.52,
ORLY,Consumer Cyclical,3.78,12.0,45.34,37.22,0.85,43.85,
OXY,Energy,13.21,6.5,85.88,64.04,0.98,65.05,
OGE,Utilities,1.32,9.0,11.92,6.02,0.2,29.88,
OKTA,Technology,0.1,14.8,1.52,3.3,0.17,19.76,
ODFL,Industrials,1.79,10.1,18.05,17.9,0.21,85.19,
ORI,Financial Services,1.24,9.8,12.17,11.98,0.25,48.21,
OLN,Basic Materials,0.72,8.7,6.24,3.18,0.11,27.7,
OLLI,Consumer Defensive,0.3,11.2,3.38,3.1,0.06,50.53,
OHI,Real Estate,1.01,10.2,10.29,6.0,0.29,20.34,
OMC,Communication Services,2.55,12.7,32.42,28.61,0.19,147.67,
ONON,Consumer Cyclical,0.29,12.0,3.52,4.1,0.29,14.01,
ON,Technology,1.79,14.8,26.42,25.61,0.41,62.63,
OMF,,,,,,,,Missing EBITDA
OKE,Energy,6.84,6.5,44.48,12.11,0.63,19.23,
ONTO,Technology,0.27,14.8,3.93,4.81,0.05,98.32,
ORCL,Technology,23.49,14.8,347.59,249.84,2.81,88.95,
OGN,Healthcare,1.6,13.3,21.33,12.92,0.26,49.71,
OSK,Industrials,1.18,10.1,11.96,10.66,0.06,166.5,
OTIS,Industrials,2.57,10.1,25.95,18.51,0.39,47.16,
OVV,Energy,4.43,6.5,28.81,22.23,0.26,86.49,
OC,Industrials,2.61,10.1,26.39,20.64,0.08,246.86,
PCAR,Industrials,4.31,10.1,43.48,35.69,0.53,67.96,
PKG,Consumer Cyclical,1.81,12.0,21.76,19.83,0.09,220.43,
PLTR,Technology,0.6,14.8,8.85,14.61,2.27,6.42,
PANW,Technology,1.25,14.8,18.5,21.0,0.67,31.44,
PK,Real Estate,0.58,10.2,5.93,1.46,0.2,7.31,
PH,Industrials,4.97,10.1,50.17,41.35,0.13,323.6,
PSN,Technology,0.54,14.8,8.01,6.94,0.11,64.99,
PAYX,Technology,2.54,14.8,37.57,34.19,0.36,94.91,
PAYC,Technology,0.51,14.8,7.55,8.0,0.06,142.19,
PCTY,Technology,0.35,14.8,5.11,5.25,0.06,95.11,
PYPL,Financial Services,6.54,9.8,64.05,61.89,0.96,64.78,
PEGA,Technology,0.29,14.8,4.36,4.69,0.17,27.41,
PENN,Consumer Cyclical,0.68,12.0,8.14,-2.28,0.15,-15.65,
